"无线鼠标",129.99,150,"支持2.4G无线和有线双模式连接"
"机械键盘",499.50,80,"高品质机械轴，手感舒适"
"蓝牙耳机",299.00,120,"无线蓝牙耳机，清晰通话"
"显示器27寸",1599.99,50,"高清IPS屏幕，护眼模式"
"游戏鼠标",199.99,200,"专业电竞鼠标，高精度传感器"
"笔记本散热器",89.50,300,"静音风扇，降温效果显著"
"办公椅",599.00,40,"人体工学椅，舒适耐用"
"U盘64G",79.99,500,"高速USB3.0存储，便携可靠"
"外置硬盘1TB",399.00,70,"大容量存储，数据安全"
"无线键盘",269.99,100,"防水设计，多设备切换"
"台式机主机",2899.99,30,"高性能处理器，适合办公及游戏"
"耳机放大器",499.50,60,"提升音质，音色更纯净"
"智能手表",1199.00,90,"运动健康监测，消息提醒"
"游戏手柄",299.99,110,"兼容多平台，手感舒适"
"液晶电视50寸",3999.00,20,"4K高清屏幕，智能电视功能"
"路由器",199.99,200,"双频WiFi，信号稳定"
"蓝牙音箱",349.50,150,"便携音箱，低音强劲"
"办公桌",899.00,25,"环保材质，稳固耐用"
"无线充电器",159.99,180,"支持快充，兼容多设备"
"移动电源10000mAh",249.00,220,"大容量，便携轻巧"
"摄像头1080P",399.50,80,"高清视频，夜视功能"
"鼠标垫",39.99,400,"防滑材质，操作顺滑"
"笔记本电脑15寸",4999.00,35,"高性能处理器，轻薄便携"
"平板电脑",2999.99,40,"高清屏幕，多任务处理"
"办公打印机",799.00,50,"彩色打印，速度快"
"复印机",1299.99,20,"高速复印，省纸模式"
"扫描仪",599.50,30,"高精度扫描，文字清晰"
"投影仪",1999.00,15,"高清投影，家庭影院"
"数位板",899.50,60,"绘画设计，压感灵敏"
"摄影三脚架",399.00,80,"稳固支撑，轻便易携"
"显示器支架",149.99,120,"可调节高度，保护颈椎"
"键盘保护膜",29.99,500,"防尘防水，易清洁"
"摄像头遮挡盖",19.99,600,"隐私保护，安装简便"
"笔记本内胆包",129.50,200,"防震防水，轻便耐用"
"无线耳机充电盒",89.99,300,"兼容多品牌耳机"
"机械键盘腕托",59.50,250,"缓解手腕疲劳，舒适支撑"
"鼠标手托",49.99,300,"缓解手腕压力，防滑设计"
"游戏耳机",399.99,100,"环绕立体声，降噪效果佳"
"液晶显示器支架",199.50,90,"多角度调节，稳固耐用"
"无线投屏器",299.99,60,"手机电脑投屏，高清流畅"
